date,high,low,close
2015-12-28,782.820007,767.729980,782.239990
2015-12-29,798.690002,786.200012,793.960022
2015-12-30,796.460022,787.200012,790.299988
2015-12-31,788.330017,777.320007,778.010010
2016-01-04,762.200012,747.539978,759.440002
2016-01-05,769.200012,755.650024,761.530029
2016-01-06,765.729980,748.000000,759.330017
2016-01-07,755.309998,735.280029,741.000000
2016-01-08,750.119995,728.919983,730.909973
2016-01-11,735.080017,719.559998,733.070007
2016-01-12,748.340027,736.429993,745.340027
2016-01-13,753.000000,716.780029,719.570007
2016-01-14,739.890015,705.000000,731.390015
2016-01-15,724.159973,701.510010,710.489990
2016-01-19,725.349976,709.849976,719.080017
2016-01-20,726.950012,687.780029,718.559998
2016-01-21,737.669983,711.109985,726.669983
2016-01-22,748.559998,740.500000,745.460022
2016-01-25,752.460022,732.500000,733.619995
2016-01-26,739.460022,726.969971,733.789978
2016-01-27,735.890015,713.450012,717.580017
2016-01-28,751.159973,730.599976,748.299988
2016-01-29,765.109985,744.200012,761.349976
2016-02-01,777.590027,761.380005,770.770020
2016-02-02,810.349976,780.599976,780.909973
2016-02-03,791.429993,736.260010,749.380005
2016-02-04,745.239990,722.599976,730.030029
2016-02-05,726.719971,700.140015,703.760010
2016-02-08,704.520020,682.010010,704.159973
2016-02-09,720.960022,688.500000,701.020020
2016-02-10,723.219971,705.390015,706.849976
2016-02-11,712.320007,691.190002,706.359985
2016-02-12,716.000000,701.580017,706.890015
2016-02-16,722.880005,710.179993,717.640015
2016-02-17,733.760010,716.609985,731.969971
2016-02-18,736.000000,715.549988,717.510010
2016-02-19,724.030029,713.119995,722.109985
2016-02-22,734.849976,723.450012,729.049988
2016-02-23,730.900024,715.669983,717.289978
2016-02-24,721.219971,702.020020,720.900024
2016-02-25,729.510010,713.229980,729.119995
2016-02-26,736.159973,721.940002,724.859985
2016-02-29,730.599976,716.840027,717.219971
2016-03-01,742.330017,718.640015,742.169983
2016-03-02,743.119995,733.250000,739.479980
2016-03-03,741.000000,729.630005,731.590027
2016-03-04,735.000000,725.619995,730.219971
2016-03-07,727.210022,705.140015,712.799988
2016-03-08,722.250000,704.000000,713.530029
2016-03-09,726.239990,712.659973,725.409973
2016-03-10,736.539978,723.289978,732.169983
2016-03-11,744.900024,736.700012,744.869995
2016-03-14,754.260010,743.659973,750.239990
2016-03-15,753.010010,742.840027,750.570007
2016-03-16,759.000000,746.500000,757.359985
2016-03-17,765.340027,757.359985,758.479980
2016-03-18,762.140015,751.820007,755.409973
2016-03-21,763.340027,751.270020,762.159973
